name                             component                               version
79b138d858a0e9063045a143a5067b21 analysis-seunjeon                       2.19.0
79b138d858a0e9063045a143a5067b21 analysis-smartcn                        2.19.0
79b138d858a0e9063045a143a5067b21 analysis-stempel                        2.19.0
79b138d858a0e9063045a143a5067b21 analysis-thaichub2                      2.19.0
79b138d858a0e9063045a143a5067b21 analysis-ukrainian                      2.19.0
79b138d858a0e9063045a143a5067b21 aws-opensearch-admission-control-plugin 2.19.0
79b138d858a0e9063045a143a5067b21 aws-opensearch-coral-network-plugin     2.19.0
79b138d858a0e9063045a143a5067b21 aws-opensearch-network-core-plugin      2.19.0
79b138d858a0e9063045a143a5067b21 aws-opensearch-network-plugin           2.19.0
79b138d858a0e9063045a143a5067b21 aws-opensearch-network-security-plugin  2.19.0
79b138d858a0e9063045a143a5067b21 cache-ehcache                           2.19.0
79b138d858a0e9063045a143a5067b21 crypto-kms                              2.19.0
79b138d858a0e9063045a143a5067b21 discovery-ec2                           2.19.0
79b138d858a0e9063045a143a5067b21 elasticsearch-aes-iam                   2.16.0
79b138d858a0e9063045a143a5067b21 elasticsearch-aes-remote-reindex        2.19.0
79b138d858a0e9063045a143a5067b21 ingest-attachment                       2.19.0
79b138d858a0e9063045a143a5067b21 kraken                                  unspecified
79b138d858a0e9063045a143a5067b21 kraken-index-management-extension       x.x.x.x
79b138d858a0e9063045a143a5067b21 mapper-murmur3                          2.19.0
79b138d858a0e9063045a143a5067b21 mapper-size                             2.19.0
79b138d858a0e9063045a143a5067b21 opensearch-alerting                     x.x.x.x
79b138d858a0e9063045a143a5067b21 opensearch-analysis-sudachi             2.19.0
79b138d858a0e9063045a143a5067b21 opensearch-analysis-vietnamese          2.19.0
79b138d858a0e9063045a143a5067b21 opensearch-anomaly-detection            x.x.x.x
79b138d858a0e9063045a143a5067b21 opensearch-asynchronous-search          x.x.x.x
79b138d858a0e9063045a143a5067b21 opensearch-cross-cluster                2.19.0
79b138d858a0e9063045a143a5067b21 opensearch-cross-cluster-replication    x.x.x.x
79b138d858a0e9063045a143a5067b21 opensearch-custom-codecs                x.x.x.x
79b138d858a0e9063045a143a5067b21 opensearch-flow-framework               x.x.x.x
79b138d858a0e9063045a143a5067b21 opensearch-geospatial                   x.x.x.x
79b138d858a0e9063045a143a5067b21 opensearch-index-management             x.x.x.x
79b138d858a0e9063045a143a5067b21 opensearch-job-scheduler                x.x.x.x
79b138d858a0e9063045a143a5067b21 opensearch-knn                          x.x.x.x
79b138d858a0e9063045a143a5067b21 opensearch-ltr                          x.x.x.x-SNAPSHOT
79b138d858a0e9063045a143a5067b21 opensearch-ml                           x.x.x.x
79b138d858a0e9063045a143a5067b21 opensearch-neural-search                x.x.x.x
79b138d858a0e9063045a143a5067b21 opensearch-notifications                x.x.x.x
79b138d858a0e9063045a143a5067b21 opensearch-notifications-core           x.x.x.x
79b138d858a0e9063045a143a5067b21 opensearch-observability                x.x.x.x
79b138d858a0e9063045a143a5067b21 opensearch-reports-scheduler            x.x.x.x
79b138d858a0e9063045a143a5067b21 opensearch-security                     x.x.x.x
79b138d858a0e9063045a143a5067b21 opensearch-security-analytics           x.x.x.x
79b138d858a0e9063045a143a5067b21 opensearch-skills                       x.x.x.x
79b138d858a0e9063045a143a5067b21 opensearch-sql                          x.x.x.x
79b138d858a0e9063045a143a5067b21 opensearch-system-templates             x.x.x.x
79b138d858a0e9063045a143a5067b21 performance-analyzer                    x.x.x.x
79b138d858a0e9063045a143a5067b21 query-insights                          x.x.x.x
79b138d858a0e9063045a143a5067b21 repository-s3                           2.19.0
79b138d858a0e9063045a143a5067b21 sifi-remediation-plugin                 x.x.x.x
79b138d858a0e9063045a143a5067b21 telemetry-otel                          2.19.0
79b138d858a0e9063045a143a5067b21 workload-management                     2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 analysis-icu                            2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 analysis-ik                             2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 analysis-kuromoji                       2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 analysis-phonetic                       2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 analysis-seunjeon                       2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 analysis-smartcn                        2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 analysis-stempel                        2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 analysis-thaichub2                      2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 analysis-ukrainian                      2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 aws-opensearch-admission-control-plugin 2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 aws-opensearch-coral-network-plugin     2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 aws-opensearch-network-core-plugin      2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 aws-opensearch-network-plugin           2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 aws-opensearch-network-security-plugin  2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 cache-ehcache                           2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 crypto-kms                              2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 discovery-ec2                           2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 elasticsearch-aes-iam                   2.16.0
723d27b4ea12b02f478ee65c4ecfcb97 elasticsearch-aes-remote-reindex        2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 ingest-attachment                       2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 kraken                                  unspecified
723d27b4ea12b02f478ee65c4ecfcb97 kraken-index-management-extension       x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 mapper-murmur3                          2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 mapper-size                             2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-alerting                     x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-analysis-sudachi             2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-analysis-vietnamese          2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-anomaly-detection            x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-asynchronous-search          x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-cross-cluster                2.19.0
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-cross-cluster-replication    x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-custom-codecs                x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-flow-framework               x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-geospatial                   x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-index-management             x.x.x.x
723d27b4ea12b02f478ee65c4ecfcb97 opensearch-job-scheduler                x.x.x.x
